transaction_id,merchant,memo,category_true,category_pred_baseline,category_pred_logreg,category_pred_lgbm,best_ml_pred,top1_prob,top2_prob,confidence_margin,is_unseen_merchant,sub_type,is_ml_misclassified,error_attribution
a6e9ff20-3aab-4f3a-839d-d5e7225b2674,Big C Supercenter รัชดา,ผลไม้นำเข้าและนมจืด,shopping,other,shopping,shopping,shopping,0.7807,0.0708,0.7099,False,routine,False,ml_wins_baseline_wrong
f561dc72-e04e-45e2-bd7f-1cd931781e92,Gentlewoman Store,ยอดตัดบัญชี,shopping,other,shopping,food,shopping,0.4196,0.1916,0.228,False,wants,False,ml_wins_baseline_wrong
e6d09738-de89-44f7-b625-7933d9d4f49f,Steam Games Store,ดื่มคราฟต์เบียร์สังสรรค์คืนวันศุกร์,entertainment,entertainment,entertainment,entertainment,entertainment,0.7211,0.0664,0.6546,False,wants,False,both_correct
c4168cbf-1e59-42b9-b479-7cb43551c592,Spotify Premium TH,ยอดตัดบัญชี,entertainment,entertainment,entertainment,entertainment,entertainment,0.6051,0.1132,0.4919,False,wants,False,both_correct
f3d51a13-ba32-45b7-8127-bdb185a076ea,Central Online Shopping,Apple Watch สายสปอร์ตแฟชั่น,shopping,shopping,shopping,shopping,shopping,0.6611,0.0917,0.5693,False,impulse_online,False,both_correct
a6d7a960-1231-4766-8531-ead2e467b437,Line Man Taxi VIP,นั่ง Taxi Express ช่วงฝนตก,transport,transport,transport,transport,transport,0.8326,0.0486,0.784,False,wants,False,both_correct
c84e233d-055a-42b7-bc9d-1f3ed2d0c8f3,Bar B Q Plaza,เบอร์เกอร์เนื้อทรัฟเฟิล,food,other,food,food,food,0.7359,0.0788,0.6571,False,wants,False,ml_wins_baseline_wrong
057d2c8a-137d-4456-a68e-666fdb6c0a84,ปตท. PTT Station สาขา 1,ค่าวินไปหน้าปากซอยสุขุมวิท,transport,transport,transport,transport,transport,0.8034,0.0588,0.7446,False,routine,False,both_correct
78328002-640e-40c1-a45f-e3f1d6dd1e95,GrabFood - ชานมไข่มุก KOI The,ยำมาม่าหมูยอไข่แดงเค็มรอบดึก,food,food,food,food,food,0.7527,0.0672,0.6855,False,impulse_delivery,False,both_correct
d27cce69-2f91-441a-a95b-0249cb6d148c,ชายสี่บะหมี่เกี๊ยว,Iced Black Coffee หวานน้อย,food,food,food,food,food,0.7053,0.0824,0.6229,False,routine,False,both_correct
8e598e4b-3126-414b-ae8d-02b85cc05f88,McDonald's EmQuartier,เบอร์เกอร์เนื้อทรัฟเฟิล,food,food,food,food,food,0.76,0.0876,0.6724,False,wants,False,both_correct
912990be-036d-48e3-bdf9-0e7656d920d4,Nintendo eShop,ตั๋วคอนเสิร์ตอินดี้มิวสิก,entertainment,entertainment,entertainment,entertainment,entertainment,0.7434,0.0741,0.6693,False,wants,False,both_correct
cc0b227d-b817-4a4b-8f2c-6485a5462929,AIS Fibre Broadband,ต่อประกันภัยรถยนต์ชั้น 1,bills,bills,bills,bills,bills,0.7667,0.0603,0.7064,False,routine,False,both_correct
38046077-d2e3-4568-b0e5-3078c64c9982,KFC Drive Thru,เบอร์เกอร์เนื้อทรัฟเฟิล,food,food,food,food,food,0.766,0.0675,0.6986,False,wants,False,both_correct
ba1499f1-ebb1-443c-a32c-d09aaf544e13,YouTube Premium Monthly,เล่นบอร์ดเกมกับกลุ่มเพื่อน,entertainment,entertainment,entertainment,entertainment,entertainment,0.8185,0.0484,0.7701,False,wants,False,both_correct
0ad0983b-2e4c-46a3-9c06-1ddc9894441b,ที่จอดรถ อาคารเสริมมิตร,เติมน้ำมันดีเซลเต็มถัง,transport,transport,transport,transport,transport,0.783,0.0593,0.7236,False,routine,False,both_correct
0c7788b8-7e27-4714-96ab-9af3e968151a,ธนาคารกรุงไทย Krungthai Next,โอนเงินคืนเพื่อนค่าอาหารกลางวัน,other,food,other,other,other,0.8256,0.0432,0.7824,False,routine,False,ml_wins_baseline_wrong
b494ef22-5598-4518-8fad-7992ee5142a2,Sukishi Korean Buffet,เบอร์เกอร์เนื้อทรัฟเฟิล,food,food,food,food,food,0.771,0.0654,0.7055,False,wants,False,both_correct
a8133e55-8cd7-40b7-b031-f08dd7712636,Big C Supercenter รัชดา,ซื้อยาสีฟัน แชมพู และสบู่เหลว,shopping,other,shopping,shopping,shopping,0.8006,0.0622,0.7384,False,routine,False,ml_wins_baseline_wrong
0f6abef3-79ba-475d-ad59-d6cdc5043e7b,ร้านส้มตำเจ๊ไก่ รัชดา,เกาเหลาเลือดหมูข้าวเปล่า,food,food,food,food,food,0.7555,0.0777,0.6778,False,routine,False,both_correct
4afd8e3b-ab3c-4788-897c-c793b9d11b08,ร้านอาหารตามสั่งลุงหนวด,xxx,food,food,food,food,food,0.7224,0.0939,0.6285,False,routine,False,both_correct
905083c3-f3b2-4412-a03b-158b5d8c68bf,ข้าวมันไก่ตอนประตูน้ำ,กาแฟคั่วเข้มแก้วเช้า,food,food,food,food,food,0.7131,0.0764,0.6366,False,routine,False,both_correct
fd1fca64-9f9a-48a9-9e31-c6b82b925434,ShopeeFood - McDonald's 24hrs,,food,food,food,food,food,0.5286,0.1597,0.3689,False,impulse_delivery,False,both_correct
0750b3ca-b215-465d-b05f-d48997486935,NT Broadband Thailand,ยอดตัดบัญชี,bills,bills,bills,bills,bills,0.5071,0.1579,0.3492,False,routine,False,both_correct
213837b1-2f74-49c5-aed8-f83fc53bef60,Karaoke City Praditmanutham,ปาร์ตี้วันเกิดกับเพื่อนร่วมงาน,entertainment,other,entertainment,entertainment,entertainment,0.8084,0.0509,0.7575,False,wants,False,ml_wins_baseline_wrong
1a0ecd78-c1c9-4ec1-8a12-6bad0e9bc6b6,GrabFood - ชานมไข่มุก KOI The,ยำมาม่าหมูยอไข่แดงเค็มรอบดึก,food,food,food,food,food,0.7527,0.0672,0.6855,False,impulse_delivery,False,both_correct
a85d062b-b182-46e0-963c-50949b479a05,7-Eleven สาขาอโศก,ข้าวมันไก่เนื้อน่องไม่หนัง,food,food,food,food,food,0.7288,0.0794,0.6495,False,routine,False,both_correct
0d3cf0f7-a63c-45e8-885f-7af04cd9dd49,ธนาคารกสิกรไทย K-Mobile,ส่งพัสดุเอกสารด่วน,other,other,other,other,other,0.7949,0.0686,0.7262,False,routine,False,both_correct
866a62e1-20b4-4fe3-8544-a471e5322f6b,Bar B Q Plaza,สุกี้ชาบูเนื้อวากิวไม่อั้น,food,food,food,food,food,0.7497,0.0755,0.6742,False,wants,False,both_correct
92934c48-6a49-41d2-a1de-46d0242bda88,YouTube Premium Monthly,จ่ายผ่านแอป,entertainment,entertainment,entertainment,entertainment,entertainment,0.4975,0.1724,0.3251,False,wants,False,both_correct
346e099f-8177-4f42-89bd-a3bc06b21543,ประกันภัยรถยนต์ วิริยะประกันภัย,ค่าโทรศัพท์และบรอดแบนด์,bills,other,bills,bills,bills,0.7958,0.0543,0.7416,False,routine,False,ml_wins_baseline_wrong
7cc4f7c8-2d1f-4e0c-bdb1-a5d9440b7687,วินมอเตอร์ไซค์ ซอยสุขุมวิท 21,ค่ารถตู้ไปทำงานอนุสาวรีย์,transport,other,transport,transport,transport,0.8429,0.0467,0.7962,False,routine,False,ml_wins_baseline_wrong
10a5fa48-859a-4939-9143-db7845c302a3,ข้าวมันไก่ตอนประตูน้ำ,ข้าวกล่องเซเว่นพร้อมน้ำดื่ม,food,food,food,food,food,0.7296,0.0888,0.6408,False,routine,False,both_correct
8e13598c-7faa-4386-9753-acff59dea479,บัตรเครดิต SCB CardX,โอนค่าเช่าคอนโดประจำเดือน,bills,bills,bills,bills,bills,0.917,0.0177,0.8993,False,routine,False,both_correct
cecce534-d505-4f88-906f-43e4a1ad8e87,GrabCar Premium Bangkok,Grab VIP เดินทางไปสนามบิน,transport,transport,transport,transport,transport,0.8579,0.0355,0.8223,False,wants,False,both_correct
8258d3e8-7046-457f-9ee7-4b267bcb134a,นิติบุคคลอาคารชุด ดิ ไอริส,โอนเงิน,bills,other,bills,other,bills,0.4437,0.1929,0.2507,False,routine,False,ml_wins_baseline_wrong
d5bb132c-8034-4fe7-b55c-810ec1f432fc,The Beer Bar Sukhumvit 11,ตั๋วหนัง IMAX 3D พร้อมป๊อปคอร์น,entertainment,other,entertainment,entertainment,entertainment,0.7925,0.0648,0.7277,False,wants,False,ml_wins_baseline_wrong
8e80aea3-6a18-4fa8-a3f2-6977c15ea7be,YouTube Premium Monthly,ตั๋วหนัง IMAX 3D พร้อมป๊อปคอร์น,entertainment,entertainment,entertainment,entertainment,entertainment,0.6748,0.0949,0.58,False,wants,False,both_correct
7035b47c-21e7-4fce-ae00-f85e039a0334,AirAsia Flight Booking,เรียกรถ GrabCar ไปปาร์ตี้,transport,transport,transport,transport,transport,0.8834,0.0304,0.853,False,wants,False,both_correct
be1f104a-4df1-409b-a92f-592272dd21eb,Shell Station สุขุมวิท,เติมน้ำมันดีเซลเต็มถัง,transport,transport,transport,transport,transport,0.7525,0.0844,0.6681,False,routine,False,both_correct
b3ce89af-24a0-4c5f-8c3c-03a9dafcd748,โจ๊กสามย่าน สาขา 2,แซนด์วิชทูน่ามื้อเช้า,food,other,food,food,food,0.7838,0.0703,0.7135,False,routine,False,ml_wins_baseline_wrong
809e8777-f59a-47e3-8765-96b7c626e4a6,ข้าวมันไก่ตอนประตูน้ำ,เกาเหลาเลือดหมูข้าวเปล่า,food,food,food,food,food,0.7352,0.08,0.6552,False,routine,False,both_correct
a2f9ebcf-785b-48ff-9598-63b2b0c164f8,Amazon Cafe PTT,โจ๊กหมูใส่ไข่เยี่ยวม้า,food,food,food,food,food,0.8014,0.0524,0.749,False,routine,False,both_correct
2a27a5fe-15cc-42b9-892d-e5c87a48477c,ปตท. PTT Station สาขา 1,ค่าวินมอไซค์ไปต่อรถไฟฟ้า,transport,transport,transport,transport,transport,0.7567,0.0606,0.696,False,routine,False,both_correct
b38f78b6-af59-46e6-98c5-6bdb3bdd3a87,B2S Think Space,,shopping,other,shopping,shopping,shopping,0.6401,0.1438,0.4964,False,wants,False,ml_wins_baseline_wrong
3caff374-7d3e-4f88-8f4e-063f085d731d,AirAsia Flight Booking,เรียกรถ GrabCar ไปปาร์ตี้,transport,transport,transport,transport,transport,0.8834,0.0304,0.853,False,wants,False,both_correct
129c88a9-414e-4554-8f0c-bc4faa47a7d5,Lazada 9.9 Official Store,ช้อปปิ้งออนไลน์ช่วงลดราคาเที่ยงคืน,shopping,shopping,shopping,shopping,shopping,0.6756,0.1059,0.5696,False,impulse_online,False,both_correct
1991efcb-b756-48b0-82e4-ff2af45d8286,Big C Supercenter รัชดา,ซื้อของใช้จำเป็นในห้องน้ำ,shopping,other,shopping,shopping,shopping,0.8118,0.0604,0.7513,False,routine,False,ml_wins_baseline_wrong
6ca8907e-4981-442a-a8eb-5e1dab1c3724,ร้านส้มตำเจ๊ไก่ รัชดา,Iced Black Coffee หวานน้อย,food,food,food,food,food,0.7357,0.0829,0.6528,False,routine,False,both_correct
aa09b0fb-5118-411f-8b20-7d2784e620db,IKEA Bangna,หนังสือแปลและนวนิยายขายดี,shopping,shopping,shopping,shopping,shopping,0.6916,0.0902,0.6014,False,wants,False,both_correct
56918bcd-3204-403a-9796-3a09fa12e51b,ร้านส้มตำเจ๊ไก่ รัชดา,เส้นเล็กน้ำตกหมูพิเศษ,food,food,food,food,food,0.818,0.0625,0.7555,False,routine,False,both_correct
3a3f65f0-13b7-475f-bfa4-495ef09f6d1e,BCP บางจาก พระโขนง,ชำระเงิน,transport,transport,transport,entertainment,transport,0.6323,0.1132,0.5191,False,routine,False,both_correct
872b0d71-2788-4d53-837f-89ba46976a51,Bar B Q Plaza,ปิ้งย่างบาร์บีคิวฉลองปิดโปรเจกต์,food,entertainment,food,food,food,0.7885,0.0486,0.7399,False,wants,False,ml_wins_baseline_wrong
a09411ae-1291-4193-ab96-885e94f4df5b,ร้านอาหารตามสั่งลุงหนวด,กาแฟคั่วเข้มแก้วเช้า,food,food,food,food,food,0.732,0.0692,0.6628,False,routine,False,both_correct
c7446cbc-47bc-4e10-8577-19b0ebc479a1,The Beer Bar Sukhumvit 11,,entertainment,other,entertainment,entertainment,entertainment,0.7422,0.0819,0.6603,False,wants,False,ml_wins_baseline_wrong
a54b7d4a-478a-4649-8152-2a5eece210ea,ชายสี่บะหมี่เกี๊ยว,โจ๊กหมูใส่ไข่เยี่ยวม้า,food,food,food,food,food,0.81,0.053,0.757,False,routine,False,both_correct
cdb96cd3-ac19-49db-99bd-ae9b0bcd9849,Apple Store Online TH,เครื่องดูดฝุ่นไร้สายกดตอนเที่ยงคืน,shopping,shopping,shopping,shopping,shopping,0.6252,0.1029,0.5223,False,impulse_online,False,both_correct
23e9bc68-c48d-47f9-aed4-f74b37dd0c5a,B2S Think Space,ซื้อเสื้อกล้ามและกางเกงสแล็ค,shopping,other,shopping,shopping,shopping,0.8053,0.0607,0.7446,False,wants,False,ml_wins_baseline_wrong
c375f75f-9a5c-4154-ae47-092238b26c4f,ร้านข้าวราดแกงเมืองตรัง,พร้อมเพย์,food,food,food,food,food,0.7443,0.0714,0.6729,False,routine,False,both_correct
eba765d6-5db3-4791-a7d7-ec8cc1c6e43d,H&M EmQuartier,เสื้อเบลเซอร์ทำงานคอลใหม่,shopping,shopping,shopping,shopping,shopping,0.7727,0.0741,0.6986,False,wants,False,both_correct
eb9a48da-05fb-4208-a738-0d306149589c,AirAsia Flight Booking,นั่ง Taxi Express ช่วงฝนตก,transport,transport,transport,transport,transport,0.8544,0.0426,0.8119,False,wants,False,both_correct
133195f6-a573-41ab-802f-e2a2820f32c9,Karaoke City Praditmanutham,Netflix Premium รายเดือน 4K,entertainment,entertainment,entertainment,entertainment,entertainment,0.7587,0.0591,0.6996,False,wants,False,both_correct
7bd30a34-241f-43a6-819b-60aaf3203532,AirAsia Flight Booking,Grab VIP เดินทางไปสนามบิน,transport,transport,transport,transport,transport,0.8712,0.0342,0.837,False,wants,False,both_correct
8ff3da4a-d752-4d5a-846f-beb4c320919c,โอนร่วมบุญผ้าป่าวัดป่า,โอนเงินซื้อของขวัญวันเกิดเพื่อน,other,other,other,other,other,0.8832,0.0305,0.8526,False,wants,False,both_correct
6af100d2-57c8-4f88-8fca-49a4abc331f5,บัตรเครดิต SCB CardX,เบี้ยประกันสุขภาพรายเดือน,bills,bills,bills,bills,bills,0.7934,0.0444,0.7491,False,routine,False,both_correct
29ad0686-6280-4981-9498-06a04aec7ac7,PromptPay โอนเงินส่วนตัว,ร่วมบริจาคอาหารสุนัขแมวจรจัด,other,other,other,other,other,0.8842,0.0326,0.8516,False,wants,False,both_correct
a406f273-af30-4c4c-8449-2f5f3edbbe5e,Big C Supercenter รัชดา,ซื้อยาสีฟัน แชมพู และสบู่เหลว,shopping,other,shopping,shopping,shopping,0.8006,0.0622,0.7384,False,routine,False,ml_wins_baseline_wrong
d7ddc871-129d-4dcc-a059-2f38b6a6b93d,ปตท. PTT Station สาขา 2,ค่าจอดรถรายชั่วโมงอาคาร,transport,transport,transport,transport,transport,0.7754,0.0758,0.6996,False,routine,False,both_correct
9210f4c2-dca1-48f9-bde6-caa6d306ccc4,ร้านส้มตำเจ๊ไก่ รัชดา,ข้าวราดแกง 2 อย่างไข่ต้ม,food,food,food,food,food,0.8145,0.0537,0.7607,False,routine,False,both_correct
346f3ecc-5394-4212-8009-2ea5539497f5,Amazon Cafe PTT,เส้นเล็กน้ำตกหมูพิเศษ,food,food,food,food,food,0.7944,0.061,0.7334,False,routine,False,both_correct
3125d042-18f4-4a05-ba04-c1bb810cb044,Board Game Cafe Ari,PlayStation Plus Member,entertainment,food,entertainment,entertainment,entertainment,0.801,0.0593,0.7417,False,wants,False,ml_wins_baseline_wrong
cb325a22-ea90-45da-9460-417af6b2f40f,GrabCar Premium Bangkok,จองตั๋วเครื่องบินไปเที่ยวภูเก็ต,transport,transport,transport,transport,transport,0.8232,0.048,0.7752,False,wants,False,both_correct
9bdffd38-5eaf-4513-860b-0eff5b9287e7,ร้านข้าวต้มรอบดึก กวงเฮง,Iced Black Coffee หวานน้อย,food,food,food,food,food,0.8028,0.0529,0.7499,False,routine,False,both_correct
e7f94fe1-7e22-4c7a-95a0-ac35a13e6de9,KFC Drive Thru,เบอร์เกอร์เนื้อทรัฟเฟิล,food,food,food,food,food,0.766,0.0675,0.6986,False,wants,False,both_correct
8f38e943-abc8-4d7a-bd41-3a28335ce34a,Lazada 9.9 Official Store,สั่งของเล่น Art Toy กล่องสุ่มไลฟ์ดึก,shopping,shopping,shopping,shopping,shopping,0.7381,0.1029,0.6353,False,impulse_online,False,both_correct
83b04e36-a6e9-45e3-b666-722e657e0aae,วัดสระเกศราชวรมหาวิหาร,โอนเงินคืนเพื่อนค่าอาหารกลางวัน,other,food,other,other,other,0.8297,0.0405,0.7892,False,routine,False,ml_wins_baseline_wrong
f09e38f7-7917-4b10-959f-2d843b4c2c06,Boots Pharmacy พระราม 9,กล่องเก็บของและอุปกรณ์อเนกประสงค์,shopping,shopping,shopping,shopping,shopping,0.8196,0.057,0.7626,False,routine,False,both_correct
f06f8e7d-aa0b-45b4-84cb-08d69b85c021,GrabFood - ชานมไข่มุก KOI The,ชานมไข่มุก golden bubble x2,food,food,food,food,food,0.6997,0.0863,0.6134,False,impulse_delivery,False,both_correct
27f46307-c203-4b01-81cb-1aee5cef2f3c,7-Eleven สาขาอโศก,แซนด์วิชทูน่ามื้อเช้า,food,food,food,food,food,0.6578,0.1166,0.5412,False,routine,False,both_correct
c45cd6a4-23c1-4547-bd5c-287dc3fd8a48,ร้านอาหารตามสั่งลุงหนวด,มื้อเที่ยงกับทีม,food,food,food,food,food,0.7316,0.0862,0.6454,False,routine,False,both_correct
f48e2007-1f58-4aad-8b3f-a092c79821b5,NT Broadband Thailand,เคลียร์ยอด,bills,bills,bills,bills,bills,0.4519,0.1634,0.2885,False,routine,False,both_correct
194f655b-ceae-46fe-b7d8-1e0e635f5d01,Steam Games Store,ปาร์ตี้วันเกิดกับเพื่อนร่วมงาน,entertainment,entertainment,entertainment,entertainment,entertainment,0.8121,0.0468,0.7653,False,wants,False,both_correct
f8d0b6e8-9cb3-4802-aac9-e3dffb274ea8,Foodpanda - Pizza Hut Delivery,ยอดตัดบัญชี,food,food,shopping,food,shopping,0.2426,0.2105,0.032,False,impulse_delivery,True,baseline_wins_ml_wrong
1d904947-0a55-4326-9a19-27221ed9d255,Caltex เอกมัย,M-Flow ชำระค่าผ่านทางด่วน,transport,transport,transport,transport,transport,0.703,0.0885,0.6145,False,routine,False,both_correct
8528d0f7-38c3-41c8-b788-35488562015d,The Beer Bar Sukhumvit 11,YouTube Premium Family,entertainment,entertainment,entertainment,entertainment,entertainment,0.8519,0.0407,0.8112,False,wants,False,both_correct
03214d56-9a45-4dae-9c6e-43e3b39864f3,Lotus's สุขุมวิท 50,กล่องเก็บของและอุปกรณ์อเนกประสงค์,shopping,other,shopping,shopping,shopping,0.8587,0.0424,0.8163,False,routine,False,ml_wins_baseline_wrong
b6a91689-9207-4f95-90ee-446eeba7c7e1,GrabCar Premium Bangkok,Grab VIP เดินทางไปสนามบิน,transport,transport,transport,transport,transport,0.8579,0.0355,0.8223,False,wants,False,both_correct
b72fb3f1-92a0-424b-b226-ed5bdc87c989,McDonald's EmQuartier,ดินเนอร์ร้านอาหารอิตาเลียน,food,food,food,food,food,0.7557,0.0897,0.666,False,wants,False,both_correct
59f22b53-70fc-4eb8-b551-e995b19c3ad1,3BB Broadband Member,ค่าบริการอินเทอร์เน็ตบ้านไฟเบอร์,bills,bills,bills,bills,bills,0.9136,0.0231,0.8906,False,routine,False,both_correct
5000f366-54b2-4ffa-ba5e-01b762d97887,ค่าธรรมเนียมถอนเงินข้ามเขต,เติมเงินมือถือระบบเติมเงิน,other,other,other,other,other,0.8032,0.061,0.7422,False,routine,False,both_correct
d7cf0b89-0345-40a1-ab00-95f408726752,ข้าวมันไก่ตอนประตูน้ำ,กะเพราหมูกรอบไข่ดาวไม่สุก,food,food,food,food,food,0.78,0.0684,0.7116,False,routine,False,both_correct
0e366446-3ae4-4f46-9e74-ce95beeb7e38,ที่จอดรถ อาคารเสริมมิตร,,transport,transport,transport,transport,transport,0.6756,0.1098,0.5658,False,routine,False,both_correct
8a514714-df23-4081-9000-8f2b0181d84f,Lineman - ยำกุ้งสดแซ่บลืมผัว,ยำแซลมอนกุ้งสด สั่งตอนหิวรอบดึก,food,food,food,food,food,0.6967,0.093,0.6037,False,impulse_delivery,False,both_correct
3afe11a2-2fe1-4cbf-a6e5-60fd300dd94c,ชายสี่บะหมี่เกี๊ยว,กาแฟคั่วเข้มแก้วเช้า,food,food,food,food,food,0.6907,0.0904,0.6003,False,routine,False,both_correct
516f7639-9e83-454a-b8b5-7f94eb837bf1,Haidilao Hot Pot CentralWorld,ชาบูหม้อไฟหมาล่าพรีเมียม,food,food,food,food,food,0.8079,0.0487,0.7592,False,wants,False,both_correct
c882c26b-7ca4-48b4-9ce7-7533fb1848b3,Lotus's สุขุมวิท 50,ของสดวัตถุดิบทำกับข้าว,shopping,food,shopping,shopping,shopping,0.8142,0.0572,0.757,False,routine,False,ml_wins_baseline_wrong
ca0bddd0-b892-4605-8838-1839314975ef,H&M EmQuartier,กระเป๋าผ้าแบรนด์ยอดฮิต,shopping,shopping,shopping,shopping,shopping,0.7141,0.0715,0.6426,False,wants,False,both_correct
652016c8-c1a7-4881-8640-1281b5b96b0c,Sukishi Korean Buffet,เซ็ตซูชิพรีเมียมแซลมอน 5 คำ,food,food,food,food,food,0.7595,0.0665,0.693,False,wants,False,both_correct
35982eea-8c5c-469d-83d2-2f96b1ea23e9,โจ๊กสามย่าน สาขา 2,เกาเหลาเลือดหมูข้าวเปล่า,food,food,food,food,food,0.7895,0.058,0.7315,False,routine,False,both_correct
e51a6288-5e16-400e-a494-51177a09c633,3BB Broadband Member,ค่าโทรศัพท์และบรอดแบนด์,bills,bills,bills,bills,bills,0.7877,0.0562,0.7315,False,routine,False,both_correct
26d9e417-adba-458d-98c2-f99878185ea7,Gentlewoman Store,หนังสือแปลและนวนิยายขายดี,shopping,other,shopping,shopping,shopping,0.71,0.08,0.63,False,wants,False,ml_wins_baseline_wrong
e6bd81fe-3bbf-4162-8cbc-5891a16a7044,McDonald's EmQuartier,เบอร์เกอร์เนื้อทรัฟเฟิล,food,food,food,food,food,0.76,0.0876,0.6724,False,wants,False,both_correct
256c55ae-ae11-4313-ae03-ede58ea489e6,7-Eleven สาขาอโศก,ข้าวกล่องเซเว่นพร้อมน้ำดื่ม,food,food,food,food,food,0.6494,0.1066,0.5427,False,routine,False,both_correct
3d4fa43e-3fbc-4165-8e3f-b960a420d304,Lotus's สุขุมวิท 50,ซื้อยาสีฟัน แชมพู และสบู่เหลว,shopping,other,shopping,shopping,shopping,0.86,0.0424,0.8176,False,routine,False,ml_wins_baseline_wrong
18ce14b9-b663-47d4-be32-1123ac1ff4b5,ร้านข้าวราดแกงเมืองตรัง,โจ๊กหมูใส่ไข่เยี่ยวม้า,food,food,food,food,food,0.8513,0.0413,0.81,False,routine,False,both_correct
c0aadab9-efa7-47ab-89a0-b83753baaa62,H&M EmQuartier,ลิปสติกและพาเลตต์อายแชโดว์,shopping,shopping,shopping,shopping,shopping,0.8462,0.0516,0.7946,False,wants,False,both_correct
031fbf5a-0b7c-4bb1-bb04-f0351aa7293a,ปตท. PTT Station สาขา 2,เติมน้ำมัน Gasohol 95,transport,transport,transport,transport,transport,0.7533,0.0869,0.6664,False,routine,False,both_correct
d361e2a9-47d6-4d68-b193-1c6011ad5189,Momoparadise Central Rama 9,ชาบูหม้อไฟหมาล่าพรีเมียม,food,food,food,food,food,0.7817,0.0889,0.6929,False,wants,False,both_correct
f8bfb97d-4771-4707-b9b3-5ac3c8e6b01d,3BB Broadband Member,ค่าเน็ตบ้านรายเดือน 3BB,bills,bills,bills,bills,bills,0.9047,0.0236,0.8811,False,routine,False,both_correct
2162a5ed-8b51-4062-925e-c8b91f83f56a,AIS Fibre Broadband,จ่ายเงิน,bills,bills,bills,bills,bills,0.264,0.2079,0.0561,False,routine,False,both_correct
35a80ab7-c8fe-4df7-82cd-f909d76fa5b8,AIS Fibre Broadband,เบี้ยประกันสุขภาพรายเดือน,bills,bills,bills,bills,bills,0.6755,0.0746,0.6009,False,routine,False,both_correct
f308f62d-2721-48a4-b5c2-fbdd78ffb63d,Lotus's สุขุมวิท 50,ซื้อยาแก้แพ้และวิตามินซีรวม,shopping,other,shopping,shopping,shopping,0.8356,0.048,0.7876,False,routine,False,ml_wins_baseline_wrong
7e3c052a-4ff6-4cdd-89d8-5f5d99ae2bfd,Line Man Taxi VIP,เช่ารถขับเที่ยวกับเพื่อน,transport,transport,transport,transport,transport,0.7747,0.0714,0.7033,False,wants,False,both_correct
